q,param,param_name,rho_eff,theory_pfail,error_rate
17,1,k,0.3842336851424593,0.009252445603533574,0.055
17,2,k,0.7684673702849186,0.19315872097254982,0.19
17,3,k,1.1527010554273778,0.38565298663545133,0.425
17,4,k,1.5369347405698373,0.515275214303349,0.485
17,5,k,1.9211684257122967,0.6027035816696091,0.49
17,6,k,2.3054021108547555,0.664459965243233,0.505
17,7,k,2.6896357959972153,0.7100435877726015,0.55
17,8,k,3.0738694811396745,0.7449367339396495,0.465
17,9,k,3.4581031662821338,0.772446794499539,0.505
19,1,k,0.343788034074832,0.003628547806027779,0.065
19,2,k,0.687576068149664,0.1458397251879578,0.255
19,3,k,1.031364102224496,0.332251054096652,0.415
19,4,k,1.375152136299328,0.467108182479013,0.445
19,5,k,1.7189401703741602,0.5607325179763345,0.505
19,6,k,2.062728204448992,0.6278218798495794,0.505
19,7,k,2.406516238523824,0.6777477822399578,0.48
19,8,k,2.750304272598656,0.7161596143226261,0.54
19,9,k,3.0940923066734882,0.7465463834685693,0.52
23,1,k,0.2839988107574699,0.00042969324784704246,0.025
23,2,k,0.5679976215149398,0.07831108250762664,0.18
23,3,k,0.8519964322724097,0.24050966678488084,0.26
23,4,k,1.1359952430298796,0.3787047326428412,0.435
23,5,k,1.4199940537873497,0.4812906090245209,0.465
23,6,k,1.7039928645448195,0.5572998065155725,0.5
23,7,k,1.9879916753022895,0.6149500596033888,0.45
23,8,k,2.2719904860597593,0.6598337658481601,0.505
23,9,k,2.5559892968172293,0.6956213630079122,0.575
23,10,k,2.8399881075746993,0.724752656547603,0.59
29,1,k,0.22524043611799338,9.008429772621155e-06,0.0
29,2,k,0.45048087223598676,0.026428946147557038,0.07
29,3,k,0.6757213083539801,0.1388999215743964,0.18
29,4,k,0.9009617444719735,0.2670313294468234,0.26
29,5,k,1.126202180589967,0.37457300970848384,0.41
29,6,k,1.3514426167079603,0.4593303177597764,0.435
29,7,k,1.5766830528259537,0.5259223275277898,0.47
29,8,k,1.801923488943947,0.5789202969680771,0.51
29,9,k,2.0271639250619407,0.6218006159186782,0.49
29,10,k,2.252404361179934,0.6570642622870054,0.54
29,11,k,2.4776447972979274,0.6865001889393896,0.55
29,12,k,2.7028852334159206,0.7114011080411615,0.54
31,1,k,0.21070879507812285,2.075952276853204e-06,0.0
31,2,k,0.4214175901562457,0.01764697800340841,0.065
31,3,k,0.6321263852343685,0.11365821697739432,0.175
31,4,k,0.8428351803124914,0.2354361128573449,0.305
31,5,k,1.0535439753906144,0.3425304572880322,0.355
31,6,k,1.264252770468737,0.42895504231473003,0.485
31,7,k,1.47496156554686,0.4977819850535288,0.36
31,8,k,1.6856703606249828,0.5530233589738571,0.48
31,9,k,1.8963791557031058,0.5979708958892433,0.475
31,10,k,2.107087950781229,0.6350802064954342,0.44
31,11,k,2.3177967458593516,0.6661454056500897,0.505
31,12,k,2.528505540937474,0.692480908141381,0.5
37,1,k,0.1765398012816705,1.4750113654096634e-08,0.0
37,2,k,0.353079602563341,0.004622566813897974,0.01
37,3,k,0.5296194038450114,0.05900603837050523,0.09
37,4,k,0.706159205126682,0.15674293257295227,0.195
37,5,k,0.8826990064083525,0.25726086740286547,0.305
37,6,k,1.0592388076900228,0.3451317468673314,0.42
37,7,k,1.2357786089716933,0.41839641532637895,0.46
37,8,k,1.412318410253364,0.4789107126626926,0.45
37,9,k,1.5888582115350345,0.529098488020848,0.515
37,10,k,1.765398012816705,0.5710916492236592,0.44
37,11,k,1.9419378140983756,0.6065882757173268,0.52
37,12,k,2.1184776153800455,0.6369003177597157,0.57
37,13,k,2.2950174166617163,0.6630351469410034,0.485
37,14,k,2.4715572179433867,0.6857691938908441,0.45
41,1,k,0.15931640603467825,3.4557338077455284e-10,0.0
41,2,k,0.3186328120693565,0.001698678254371476,0.02
41,3,k,0.47794921810403473,0.03641414726674857,0.06
41,4,k,0.637265624138713,0.1166003271210383,0.145
41,5,k,0.7965820301733912,0.20934683562711065,0.255
41,6,k,0.9558984362080695,0.29549813346422027,0.285
41,7,k,1.1152148422427477,0.36988531389913026,0.395
41,8,k,1.274531248277426,0.4326868496049129,0.385
41,9,k,1.4338476543121044,0.4855373843340224,0.445
41,10,k,1.5931640603467825,0.5302124453004193,0.53
41,11,k,1.7524804663814608,0.5682574144631798,0.46
41,12,k,1.911796872416139,0.600926848193214,0.46
41,13,k,2.071113278450817,0.6292149474857291,0.475
41,14,k,2.2304296844854954,0.6539048747939791,0.48
41,15,k,2.3897460905201737,0.6756148483412115,0.47
43,1,k,0.15190634063771646,4.610377162219339e-11,0.0
43,2,k,0.3038126812754329,0.000996539641532792,0.01
43,3,k,0.4557190219131494,0.02821136655974199,0.04
43,4,k,0.6076253625508659,0.09981505056476692,0.18
43,5,k,0.7595317031885824,0.18797249173182995,0.235
43,6,k,0.9114380438262988,0.27256827332622025,0.345
43,7,k,1.0633443844640154,0.34699750259476436,0.375
43,8,k,1.2152507251017317,0.410578818889892,0.415
43,9,k,1.3671570657394483,0.4645074766883359,0.475
43,10,k,1.5190634063771649,0.5103451413340376,0.47
43,11,k,1.6709697470148812,0.5495364563317365,0.52
43,12,k,1.8228760876525976,0.5832912154378347,0.525
43,13,k,1.974782428290314,0.6125864736780102,0.515
43,14,k,2.1266887689280307,0.6382017407377283,0.47
43,15,k,2.278595109565747,0.6607579729525664,0.49
47,1,k,0.13897814143450657,6.228881823883016e-13,0.0
47,2,k,0.27795628286901314,0.0003210583463273974,0.0
47,3,k,0.4169344243035196,0.016464232748736724,0.055
47,4,k,0.5559125657380263,0.07204335626585248,0.105
47,5,k,0.6948907071725329,0.15012921091124645,0.18
47,6,k,0.8338688486070392,0.2304387765572803,0.26
47,7,k,0.9728469900415458,0.3039917539047735,0.315
47,8,k,1.1118251314760526,0.3684279172960062,0.37
47,9,k,1.2508032729105591,0.42400852481057216,0.395
47,10,k,1.3897814143450657,0.47180973643622726,0.49
47,11,k,1.5287595557795723,0.5130312105613936,0.48
47,12,k,1.6677376972140785,0.548763063642586,0.47
47,13,k,1.806715838648585,0.579927604008131,0.515
47,14,k,1.9456939800830917,0.6072831471930201,0.455
47,15,k,2.0846721215175985,0.6314466012396724,0.505
47,16,k,2.223650262952105,0.6529188333253192,0.49
53,1,k,0.12324476693248695,4.900645264488835e-16,0.0
53,2,k,0.2464895338649739,4.971402081802192e-05,0.0
53,3,k,0.36973430079746084,0.006837743568509197,0.025
53,4,k,0.4929790677299478,0.042510905933127674,0.095
53,5,k,0.6162238346624348,0.10463495540179331,0.145
53,6,k,0.7394686015949217,0.17627218176381498,0.22
53,7,k,0.8627133685274087,0.24640175674236808,0.32
53,8,k,0.9859581354598956,0.31046736528701435,0.33
53,9,k,1.1092029023923826,0.36729686094379743,0.365
53,10,k,1.2324476693248696,0.41713974375013363,0.395
53,11,k,1.3556924362573566,0.46073905621706224,0.36
53,12,k,1.4789372031898433,0.4989382841607649,0.475
53,13,k,1.6021819701223303,0.5325298490531629,0.5
53,14,k,1.7254267370548173,0.5622068077690623,0.465
53,15,k,1.8486715039873043,0.5885565317823565,0.445
53,16,k,1.9719162709197913,0.6120699749298815,0.555
53,17,k,2.0951610378522783,0.6331554309316891,0.545
53,18,k,2.2184058047847652,0.6521523310323358,0.48
59,1,k,0.11071140080375946,1.6780390201373054e-19,0.0
59,2,k,0.22142280160751893,6.2945325169457795e-06,0.0
59,3,k,0.33213420241127833,0.002605336926011766,0.015
59,4,k,0.44284560321503785,0.023937969848658477,0.04
59,5,k,0.5535570040187974,0.07084047931603273,0.09
59,6,k,0.6642684048225567,0.13221726828141026,0.165
59,7,k,0.7749798056263162,0.19692701095656207,0.215
59,8,k,0.8856912064300757,0.2588718157525367,0.29
59,9,k,0.9964026072338352,0.3155664490289267,0.26
59,10,k,1.1071140080375947,0.366393575413826,0.38
59,11,k,1.2178254088413543,0.4115689394842633,0.445
59,12,k,1.3285368096451133,0.4516255304307273,0.49
59,13,k,1.4392482104488729,0.48717614378139673,0.445
59,14,k,1.5499596112526324,0.5188117753029896,0.515
59,15,k,1.660671012056392,0.5470634932052711,0.51
59,16,k,1.7713824128601514,0.5723929183602695,0.44
59,17,k,1.882093813663911,0.5951948708916468,0.53
59,18,k,1.9928052144676704,0.615804561739885,0.56
59,19,k,2.1035166152714297,0.6345058917085107,0.485
61,1,k,0.10708151881019358,9.754288251631831e-21,0.0
61,2,k,0.21416303762038716,3.0216919160044e-06,0.0
61,3,k,0.3212445564305807,0.001852630370053175,0.0
61,4,k,0.4283260752407743,0.01956067127944179,0.01
61,5,k,0.5354075940509679,0.06179888800539396,0.085
61,6,k,0.6424891128611614,0.11960192964156054,0.145
61,7,k,0.7495706316713551,0.1821720387460546,0.24
61,8,k,0.8566521504815486,0.24307512744187876,0.345
